"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"188","Layer 01","","point","-122.9832611083984,-32.32615280151367,14.80230140686035"
"189","Layer 01","","point","-121.1789932250977,-37.01657867431641,17.80230140686035"
"190","Layer 01","","point","-122.5373229980469,-23.52697563171387,17.80230140686035"
"191","Layer 01","","point","-123.7148666381836,-19.76499557495117,14.80230140686035"
"192","Layer 01","","point","-121.1789932250977,-37.01657867431641,17.80230140686035"
"193","Layer 01","","point","-37.70162582397461,-133.9608459472656,14.80230140686035"
"194","Layer 01","","point","-39.10129165649414,-133.451416015625,14.80230140686035"
"195","Layer 01","","point","-44.95366668701172,-130.3117218017578,17.80230140686035"
"196","Layer 01","","point","-39.10129165649414,-133.451416015625,14.80230140686035"
"197","Layer 01","","point","-50.89361190795898,-129.1593627929688,14.80230140686035"
"198","Layer 01","","point","-44.95366668701172,-130.3117218017578,17.80230140686035"
"199","Layer 01","","point","-75.16806793212891,-115.1445007324219,14.80230140686035"
"200","Layer 01","","point","-76.00813293457031,-114.4395980834961,14.80230140686035"
"201","Layer 01","","point","-77.51417541503906,-111.8898696899414,17.80230140686035"
"202","Layer 01","","point","-76.00813293457031,-114.4395980834961,14.80230140686035"
"203","Layer 01","","point","-85.92227172851562,-106.1206512451172,14.80230140686035"
"204","Layer 01","","point","-87.62908935546875,-102.8619613647461,17.80230140686035"
"205","Layer 01","","point","-77.51417541503906,-111.8898696899414,17.80230140686035"
"206","Layer 01","","point","-76.00813293457031,-114.4395980834961,14.80230140686035"
"207","Layer 01","","point","-87.62908935546875,-102.8619613647461,17.80230140686035"
"208","Layer 01","","point","-37.70162582397461,-133.9608459472656,14.80230140686035"
"209","Layer 01","","point","-37.07991790771484,-134.1082000732422,14.80230140686035"
"210","Layer 01","","point","-35.0328369140625,-133.5351867675781,17.80230140686035"
"211","Layer 01","","point","-37.07991790771484,-134.1082000732422,14.80230140686035"
"212","Layer 01","","point","-24.04142189025879,-137.1983795166016,14.80230140686035"
"213","Layer 01","","point","-21.78371238708496,-136.411865234375,17.80230140686035"
"214","Layer 01","","point","-35.0328369140625,-133.5351867675781,17.80230140686035"
"215","Layer 01","","point","-37.07991790771484,-134.1082000732422,14.80230140686035"
"216","Layer 01","","point","-21.78371238708496,-136.411865234375,17.80230140686035"
"217","Layer 01","","point","110.3623275756836,-59.600341796875,14.80230140686035"
"218","Layer 01","","point","110.3149108886719,-59.71027755737305,14.80230140686035"
"219","Layer 01","","point","108.9220199584961,-60.1865348815918,17.80230140686035"
"220","Layer 01","","point","110.3149108886719,-59.71027755737305,14.80230140686035"
"221","Layer 01","","point","104.8019180297852,-72.49082183837891,14.80230140686035"
"222","Layer 01","","point","103.4616546630859,-72.59616088867188,17.80230140686035"
"223","Layer 01","","point","108.9220199584961,-60.1865348815918,17.80230140686035"
"224","Layer 01","","point","110.3149108886719,-59.71027755737305,14.80230140686035"
"225","Layer 01","","point","103.4616546630859,-72.59616088867188,17.80230140686035"
"226","Layer 01","","point","117.642707824707,-18.31128692626953,14.80230140686035"
"227","Layer 01","","point","117.5580368041992,-19.76499557495117,14.80230140686035"
"228","Layer 01","","point","116.3804931640625,-23.52697563171387,17.80230140686035"
"229","Layer 01","","point","117.5580368041992,-19.76499557495117,14.80230140686035"
"230","Layer 01","","point","116.8264312744141,-32.32615280151367,14.80230140686035"
"231","Layer 01","","point","115.0221633911133,-37.01657867431641,17.80230140686035"
"232","Layer 01","","point","116.3804931640625,-23.52697563171387,17.80230140686035"
"233","Layer 01","","point","117.5580368041992,-19.76499557495117,14.80230140686035"
"234","Layer 01","","point","115.0221633911133,-37.01657867431641,17.80230140686035"
"235","Layer 01","","point","71.37258148193359,76.7183837890625,-18.19769859313965"
"236","Layer 01","","point","71.43462371826172,76.66667175292969,-18.19769859313965"
"237","Layer 01","","point","73.95455932617188,73.92019653320312,-19.71017456054688"
"238","Layer 01","","point","71.43462371826172,76.66667175292969,-18.19769859313965"
"239","Layer 01","","point","76.97449493408203,72.04976654052734,-18.19769859313965"
"240","Layer 01","","point","73.95455932617188,73.92019653320312,-19.71017456054688"
"241","Layer 01","","point","65.49900054931641,81.04024505615234,-18.19769859313965"
"242","Layer 01","","point","64.73535919189453,81.53397369384766,-18.19769859313965"
"243","Layer 01","","point","66.38256072998047,79.74939727783203,-19.71017456054688"
"244","Layer 01","","point","64.73535919189453,81.53397369384766,-18.19769859313965"
"245","Layer 01","","point","59.37518310546875,84.99958801269531,-18.19769859313965"
"246","Layer 01","","point","58.37133407592773,84.95851898193359,-19.71017456054688"
